Life Incidents,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7,Term 8,Term 9,Term 10
Topic 1,good,weather,great,dog,show,food,day,side,many,bag
Topic 2,great,would,love,help,could,relief,storm,change,climate,like
Topic 3,good,day,pardon,friday,happy,great,arpaio,real,im,though
Topic 4,good,morn,luck,gulf,people,wishe,cat,storm,love,rain
Topic 5,good,far,im,happy,coverage,great,watch,power,get,keep
Topic 6,good,luck,everybody,bear,wish,like,love,hit,bad,im
Topic 7,good,luck,prepare,ahead,heartles,bid,farewell,shareblue,love,hear
Topic 8,head,good,vacation,fac,luck,great,yell,crassly,love,stay
Topic 9,great,state,work,city,noth,gov,monitor,chance,federal,closely
Topic 10,love,job,great,good,director,handl,bug,laud,agency,help
Topic 11,good,luck,love,help,victim,better,dont,deserve,near,go
Topic 12,good,luck,great,tell,camp,david,way,president,watch,doesnt
Topic 13,love,prayer,stay,send,path,everyone,thought,affect,good,people
Topic 14,good,luck,path,message,people,everybody,approache,say,said,word
Topic 15,god,love,great,good,hit,bles,help,thank,die,pray
Topic 16,happy,love,thank,birthday,take,keep,great,ill,wait,away
Topic 17,good,luck,get,corpu,go,th,look,people,like,say
Topic 18,weekend,great,good,im,love,happy,let,go,cover,look
Topic 19,good,great,make,landfall,go,love,impact,still,morn,wind
Topic 20,pray,good,everyone,love,affect,hop,first,day,great,night
