Life Incidents,Term 1,Term 2,Term 3,Term 4,Term 5,Term 6,Term 7,Term 8,Term 9,Term 10
Topic 1,report,video,update,lik,disaster,price,goug,special,major,khou
Topic 2,see,report,update,bad,top,could,latest,story,weather,slam
Topic 3,weather,blog,geek,climate,change,mashable,extreme,science,storm,report
Topic 4,weather,channel,coverage,video,track,lik,watch,like,co,town
Topic 5,weather,report,storm,rockport,phurricane,com,damage,southeast,bring,slamm
Topic 6,weather,report,path,go,people,prayer,reporter,one,pray,water
Topic 7,prepare,report,jim,multiple,acosta,effort,apparently,ignore,update,central
Topic 8,update,follow,brace,report,right,information,important,ontheground,cat,alanblinder
Topic 9,report,update,help,information,hammer,affect,media,disaster,settle,ahead
Topic 10,information,weather,aug,best,track,app,updat,last,nhc,atlantic
Topic 11,report,update,add,may,playlist,video,center,accord,txwx,beach
Topic 12,weather,update,stay,weekend,friday,tonight,event,away,report,please
Topic 13,update,watch,report,gulf,radar,impact,city,without,relief,continue
Topic 14,report,flood,catastrophic,expect,damage,update,rockport,abcnew,tx,cause
Topic 15,update,next,wind,give,latest,week,slow,weather,day,several
Topic 16,storm,update,downgrad,tropical,report,wind,weaken,rain,surge,flood
Topic 17,weather,service,national,rain,cut,update,forecast,call,much,noaa
Topic 18,weather,wind,sustain,storm,maximum,report,max,update,loom,man
Topic 19,update,come,center,ashore,upgrad,noaa,storm,national,statement,latest
Topic 20,update,break,give,abbott,greg,school,high,gov,rockport,report
Topic 21,update,wind,pm,nw,report,cat,cdt,gust,mov,information
Topic 22,corpu,christi,update,august,report,near,saturday,morn,storm,th
Topic 23,weather,stay,due,please,clos,update,everyone,today,severe,condition
Topic 24,update,storm,strengthen,statement,alert,en,latest,track,cat,atlntico
Topic 25,weather,update,keep,even,image,includ,watch,view,storm,effect
Topic 26,weather,update,head,txwx,toward,periscope,cruise,jeffpiotrowski,predict,travel
Topic 27,update,latest,pm,information,twitter,check,facebook,watch,regard,preparation
Topic 28,update,weather,report,impact,list,info,response,follow,minute,im
Topic 29,latest,update,landfall,make,report,made,special,wind,major,storm
Topic 30,report,power,outage,wake,death,fake,second,strike,home,dont
